Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL","36532","Baldwin","0.850671","0.873263","0.834582","0.882778","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.861927","0.869393","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.861917","0.895409","5 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.040754","0.031866","1 out of 10","5 out of 9","5 out of 10"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL","35161","Talladega","0.850671","0.873263","0.835804","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.845688","0.865383","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.887017","0.876528","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010103","PRINCETON BAPTIST MEDICAL CENTER","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL","35211","Jefferson","0.850671","0.873263","0.853218","0.839636","0 out of 10","0 out of 9","0 out of 10","0.883472","0.908094","0.883345","0.876608","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.862600","0.875363","0 out of 10","2 out of 9","2 out of 10","0.032229","0.023178","0.030525","0.020564","10 out of 10","9 out of 9","10 out of 10"
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","BIRMINGHAM","AL","35243","Jefferson","0.850671","0.873263","0.837011","0.864075","6 out of 10","7 out of 9","7 out of 10","0.883472","0.908094","0.866808","0.877282","0 out of 10","2 out of 9","2 out of 10","0.882334","0.907906","0.852615","0.892940","4 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.050660","0.028476","4 out of 10","8 out of 9","8 out of 10"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL","36067","Autauga","0.850671","0.873263","0.861500","0.870002","8 out of 10","7 out of 9","8 out of 10","0.883472","0.908094","0.886073","0.915522","10 out of 10","9 out of 9","10 out of 10","0.882334","0.907906","0.860653","0.891806","4 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","DEMOPOLIS","AL","36732","Marengo","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.898930","0.899169","6 out of 10","0 out of 9","6 out of 10","0.882334","0.907906","0.911539","0.889143","3 out of 10","0 out of 9","3 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","Mobile","0.850671","0.873263","0.821856","0.861691","5 out of 10","7 out of 9","7 out of 10","0.883472","0.908094","0.880964","0.877001","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.858000","0.898593","6 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","0.035229","0.032816","0 out of 10","2 out of 9","2 out of 10"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","Jefferson","0.850671","0.873263","0.854793","0.871540","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.888047","0.882631","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.885955","0.907473","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.042495","0.026589","6 out of 10","8 out of 9","8 out of 10"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","Dallas","0.850671","0.873263","0.848643","0.853461","2 out of 10","1 out of 9","2 out of 10","0.883472","0.908094","0.889048","0.866140","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.858448","0.888182","3 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","MONROEVILLE","AL","36460","Monroe","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.869526","0.881501","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.848324","0.873567","0 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","AL","35565","Winston","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.869031","0.887540","2 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.883415","0.912057","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","Pike","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.896082","0.871579","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.879158","0.865860","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.038133","Not Available","Not Available","Not Available","Not Available"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON","AL","36545","Clarke","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.884687","0.872901","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.888731","0.881106","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","Baldwin","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.881319","0.867282","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.856095","0.868424","0 out of 10","2 out of 9","2 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","PELL CITY","AL","35125","Saint Clair","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.891395","0.880279","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.889187","0.902292","8 out of 10","7 out of 9","8 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","Madison","0.850671","0.873263","0.870043","0.876675","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.862975","0.877312","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.880556","0.896938","6 out of 10","5 out of 9","6 out of 10","0.032229","0.023178","0.031848","0.033230","0 out of 10","0 out of 9","0 out of 10"
